,"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,16.6,30.6,0,4.6,11.7,SSW,35,16:41,21.6,59,0,SSE,15,1020.5,29.6,42,0,SSW,15,1016.4
,2025-03-2,17.3,35.3,0,7.0,11.8,ENE,30,05:56,24.5,51,0,E,9,1015.3,33.1,38,0,WSW,13,1011.0
,2025-03-3,20.4,27.1,0,7.6,10.3,SW,31,16:13,23.9,65,3,W,9,1014.2,25.2,60,3,SW,17,1014.1
,2025-03-4,17.8,27.3,2.2,9.0,8.9,SSW,35,09:18,21.3,65,5,S,17,1021.8,27.2,48,3,S,11,1020.4
,2025-03-5,16.1,33.2,0,7.4,11.7,ESE,41,00:25,20.9,47,0,E,15,1023.8,32.1,27,2,E,13,1018.4
,2025-03-6,20.9,40.3,0,11.8,11.6,NE,35,10:27,29.7,32,0,ENE,17,1017.2,38.6,20,1,SW,19,1012.1
,2025-03-7,20.2,28.4,0,8.6,10.1,SSW,33,17:36,25.4,70,1,S,6,1012.7,27.4,59,0,W,13,1008.9
,2025-03-8,19.5,26.9,0,7.0,,SSW,41,20:06,22.1,69,4,SSW,4,1009.4,26.2,50,2,WSW,15,1008.4
,2025-03-9,15.1,26.0,0,,11.4,SSW,41,16:09,19.2,57,,SSE,15,1017.9,24.5,45,1,SW,20,1015.7
,2025-03-10,16.6,29.6,0,6.4,11.6,SW,31,16:00,21.9,55,1,E,7,1019.9,28.4,42,0,SW,15,1014.6
,2025-03-11,18.6,33.4,0,7.8,11.5,SW,37,17:20,23.4,54,0,E,13,1011.8,31.6,38,0,SSW,13,1006.4
,2025-03-12,19.0,25.9,0,7.8,0.7,W,22,11:50,23.7,81,7,NW,7,1007.9,25.6,64,8,W,7,1006.6
,2025-03-13,18.6,28.8,0,1.8,4.8,SW,28,15:57,23.0,72,7,WNW,6,1010.5,21.0,93,7,SSW,2,1009.0
,2025-03-14,18.4,26.1,13.4,5.0,9.6,NW,37,14:49,22.5,65,1,N,9,1010.7,24.2,60,3,NW,13,1011.1
,2025-03-15,17.7,26.6,0,4.4,9.4,SSE,33,18:01,20.4,78,5,SSE,11,1020.3,25.5,58,6,SSW,15,1019.0
,2025-03-16,17.2,29.4,0,4.8,11.2,E,43,09:35,22.1,60,1,E,15,1025.5,29.0,38,0,E,13,1021.3
,2025-03-17,16.4,31.5,0,8.6,11.2,E,33,05:31,20.7,56,0,E,11,1022.1,30.3,24,0,ENE,13,1016.0
,2025-03-18,13.3,32.1,0,8.0,11.0,SSW,30,15:32,24.0,40,1,NE,13,1014.1,28.9,28,6,SW,17,1009.7
,2025-03-19,19.2,26.3,0,7.0,10.6,SW,39,14:12,22.2,58,1,S,15,1011.1,24.3,60,2,SSW,22,1010.7
,2025-03-20,14.5,27.7,0,6.6,11.1,SW,33,16:45,19.5,52,0,E,11,1018.4,26.3,36,0,S,13,1014.5
,2025-03-21,10.9,32.2,0,8.4,11.2,SSW,30,15:52,22.8,39,0,ENE,7,1015.9,30.8,29,0,SSW,15,1012.0
